Date,ticker,mom_5,mom_20,mom_60,reversal_5,vol_20,vol_60,ma_dist_20,rel_strength_20,future_return_5d,mom_5_z,mom_20_z,mom_60_z,reversal_5_z,vol_20_z,vol_60_z,ma_dist_20_z,rel_strength_20_z,alpha_score,high_252_signal,high_252_signal_z,enhanced_alpha_score,enhanced_prediction,weight
2026-06-15,AVGO,-0.006706998314406687,-0.07349656125791748,0.2342620013767409,0.006706998314406687,0.04269253210729347,0.03387221320921882,-0.05567568567014047,-0.09468247365353966,-0.03347807006517889,-0.41977283612099575,-1.0411835829477025,0.3377041629469763,0.41977283612099575,1.4721661287571197,1.0832750355234961,-1.3046529031316352,-1.0411835829477027,0.003171877551773258,-0.0975820274903354,0.46693027791155023,-0.38469287365098676,0.003171877551773258,0.2
2026-06-15,COP,-0.05576581114858037,-0.08291807223448944,-0.10256873632122876,0.05576581114858037,0.019818665106351156,0.021154921093315446,-0.04935301377443657,-0.10410398463011161,-0.02039908134642976,-1.3465041544935645,-1.1316972412173567,-0.6792273892931767,1.3465041544935645,-0.31638622341778805,-0.1709370932257419,-1.1831933748567687,-1.131697241217357,0.0013901974208599505,-0.2632522419293364,-0.8979267582905085,-0.4171949693415837,0.0013901974208599505,0.2
2026-06-04,SLB,0.05794902230852306,0.057181768222548834,0.21210031684280417,-0.05794902230852306,0.01907785221074685,0.022430189827155868,0.04132201031902172,0.02548501860846719,-0.03464917048251481,1.0002860499602877,0.19133913534654412,0.36639804482104277,-1.0002860499602877,-0.2743472001947052,0.022284789229731684,0.38299897221954204,0.19133913534654412,0.0013901974208599505,-0.28703765342906695,-1.1515188969056753,-0.14137035566518968,0.0013901974208599505,0.2
2025-04-10,CRM,0.0011394611546260425,-0.05968625402387728,-0.21023414859437373,-0.0011394611546260425,0.03148784245789243,0.024425515184490366,-0.05296726791574313,-0.01387374839476807,-0.030808910376270204,0.5618326307273868,-0.11787469550782158,-1.015784644425237,-0.5618326307273868,-0.3653710777657715,-0.3208839551813906,0.04510463702114059,-0.11787469550782158,0.0013901974208599505,-0.1050425964184929,1.0771079094398694,-0.11231611884104686,0.0013901974208599505,0.2
2026-06-05,MPC,0.053221872676672,0.08565166711894023,0.15996278356405136,-0.053221872676672,0.020300960632323825,0.02316886929116347,0.02915068305233648,0.07749125902911103,0.00599204896043859,1.2865056624501339,0.7154446571335309,0.35146766236717025,-1.2865056624501339,-0.2208264894277879,0.06330120334617637,0.5617242609242478,0.7154446571335309,0.0013901974208599505,-0.03603722853425473,1.175811661136672,0.33721903568731876,0.0013901974208599505,0.2
2026-03-06,LMT,0.026182794185271696,0.10855638729728367,0.451094435631324,-0.026182794185271696,0.01771070620776609,0.018767876365143422,0.03417306390870678,0.11628930525272474,-0.03836137739906076,0.664018489980263,1.3680776811671957,2.8149278571948804,-0.664018489980263,-0.5497810976534474,-0.2601272268443792,0.759334930282699,1.3680776811671957,-0.03603688481428736,-0.05541931459685734,0.8768389501931234,1.1562029935274407,-0.03603688481428736,-0.2
2025-11-25,LLY,0.07755927042238353,0.35540794409577425,0.5119493071376497,-0.07755927042238353,0.016817666672619146,0.019839223585399128,0.13832748812555007,0.37293184349793984,-0.06881443338786952,1.3427323656836962,3.8139266926269553,2.8395522939503386,-1.3427323656836962,-0.26337355154519826,0.1729117323742231,2.5181276466854396,3.8139266926269553,-0.04989521150775864,-0.05649839676467572,0.6281375998696413,1.8351016190691738,-0.04989521150775864,-0.2
2025-12-17,ORCL,-0.19976678926591762,-0.1906209099333599,-0.4303613247233724,0.19976678926591762,0.038843863600357215,0.031559013224145525,-0.12665376608672663,-0.20777035247835018,0.10663454839858022,-3.522622855179673,-2.849171947939253,-3.5895837334493237,3.522622855179673,2.809964652649539,1.8795635101102508,-2.951076608118461,-2.849171947939253,-0.10703094370029224,-0.1414659635888067,-0.16016681347016457,-1.632253220109608,-0.10703094370029224,-0.2
2026-05-08,INTC,0.2539650143026253,1.002564861012749,1.5868709008199269,-0.2539650143026253,0.07068661042108132,0.054861164023069106,0.4806912489524149,0.9169674633242197,-0.12928275506406262,3.6767104786998215,4.652348909507106,5.762585622934736,-3.6767104786998215,4.5484065575969295,4.399281542633387,4.673491107261766,4.652348909507106,-0.12756750313964904,-0.006509381646827461,1.1442847592932222,1.718714401363905,-0.12756750313964904,-0.2
2025-05-14,UNH,-0.21237138725921445,-0.47221506335962904,-0.3822491888338987,0.21237138725921445,0.061344089697216275,0.04207611856646854,-0.2449337570715684,-0.5651820644957105,-0.01633069783501173,-3.667402361997655,-4.300264519668554,-3.659377325309664,3.667402361997655,4.140600402893641,1.4869741392285827,-3.6853482509029867,-4.300264519668554,-0.15884935965234637,-0.09190779121306747,0.4431960435676466,-2.2414683465451772,-0.15884935965234637,-0.2
